Feature,Importance_Sales,Importance_Margin,Importance_Qty,Importance_Cls
Avg_Unit_Cost,0.7537291486939535,0.07410562317527343,0.008271872163218768,0.10070288934383874
Num_Transactions,0.13946828365899128,0.008181743000009494,0.634803691347957,0.011223693279759254
Units_Ordered,0.02347834812670452,0.08992421614220808,0.07111021419646614,0.12710857392081648
Recommended_Order_Qty,0.021517560275923307,0.11306340000412216,0.07512115910280417,0.1029558021598511
Demand_Forecast,0.018962040007326663,0.14451962751913794,0.07505960667940462,0.11084044724084463
MonthNum,0.0067010274965337915,0.10114925605497362,0.03591788297095121,0.05768181835186378
Avg_Discount_Inv,0.004980005452270171,0.0447971909928334,0.011329881844309934,0.03830927254694446
Avg_Discount_Sales,0.003963395582282086,0.06789153945314289,0.012937383689266954,0.05195929851497526
Competitor_Pricing,0.003937409069351124,0.1139408089510449,0.011743189660437258,0.08392523362877614
Inventory_Level,0.003886007375180869,0.02942986674486225,0.010759859389911943,0.040672675516279004
Fulfillment_Rate,0.0032604396082496216,0.04532094427734382,0.008360690178536906,0.04103031426047955
Price_vs_Competitor,0.0030873289364244873,0.06333376155351382,0.010297108193793997,0.04260574899970485
Region_enc,0.002264417658248159,0.04009315839500177,0.01102477466844039,0.03479573431907038
Weather_Mode_enc,0.0017350914882934263,0.0066247315894161374,0.00315948321999747,0.01418326233631195
Quarter,0.0014296547162144086,0.013838443319503721,0.004283654124920706,0.03126438542560048
Returning_Customers,0.0013846854117636883,0.005840995222452432,0.0012967487520407664,0.014877316149449173
Seasonality_enc,0.0011973629376514092,0.004681727610317097,0.002644877076651904,0.027210173463753023
Retail_Txn,0.001155736276642765,0.00995018135446083,0.0014840199018119463,0.011090716270531577
Year,0.0010414234542272833,0.0066011299656532785,0.0027216000670516652,0.013658975478703813
Category_enc,0.0010132469300198677,0.008229208631703098,0.0032516164739633284,0.016124744361610103
New_Customers,0.0008444421932115554,0.003212569076979806,0.0016905045331976933,0.010411100839440943
Online_Txn,0.0005584338375905216,0.0038224659895533704,0.0014048935965474787,0.011616229534583106
Holiday_Days,0.0004045108129453597,0.0014474109764927873,0.001325288168317626,0.005751594056812226
